
Processing staticRatio benchmark.


Configuration for benchmark run:

	testType: static
	testSize: 1000
	testIterations: 50
	degreeOfParallelism: 10
	sleepInterval: 0

Configuration for testCase1:

	ratioOfMethods: 
		getItem: 80
		add: 9
		contains: 2
		remove: 9
		clear: 1
threadId	end time	iter #		avg		min		max		
1		10:47:06	1		0.000015	0.000015	0.000015
3		10:47:06	1		0.000011	0.000011	0.000011
1		10:47:06	2		0.000018	0.000015	0.000022
2		10:47:06	1		0.000028	0.000028	0.000028
3		10:47:06	2		0.000019	0.000011	0.000027
2		10:47:06	2		0.000022	0.000017	0.000028
5		10:47:06	1		0.000018	0.000018	0.000018
1		10:47:06	3		0.000021	0.000015	0.000026
2		10:47:06	3		0.000016	0.000004	0.000028
4		10:47:06	1		0.000015	0.000015	0.000015
6		10:47:06	1		0.000017	0.000017	0.000017
7		10:47:06	1		0.000030	0.000030	0.000030
1		10:47:06	4		0.000022	0.000015	0.000026
7		10:47:06	2		0.000019	0.000007	0.000030
2		10:47:06	4		0.000019	0.000004	0.000028
5		10:47:06	2		0.000017	0.000016	0.000018
8		10:47:06	1		0.000016	0.000016	0.000016
7		10:47:06	3		0.000015	0.000007	0.000030
3		10:47:06	3		0.000045	0.000011	0.000097
10		10:47:06	1		0.000017	0.000017	0.000017
5		10:47:06	3		0.000030	0.000016	0.000056
9		10:47:06	1		0.000045	0.000045	0.000045
3		10:47:06	4		0.000044	0.000011	0.000097
1		10:47:06	5		0.000023	0.000015	0.000029
1		10:47:06	6		0.000021	0.000011	0.000029
1		10:47:06	7		0.000019	0.000007	0.000029
1		10:47:06	8		0.000018	0.000007	0.000029
1		10:47:06	9		0.000017	0.000007	0.000029
1		10:47:06	10		0.000016	0.000007	0.000029
1		10:47:06	11		0.000015	0.000007	0.000029
4		10:47:06	2		0.000056	0.000015	0.000097
8		10:47:06	2		0.000079	0.000016	0.000142
5		10:47:06	4		0.000050	0.000016	0.000109
6		10:47:06	2		0.000062	0.000017	0.000108
9		10:47:06	2		0.000085	0.000045	0.000124
9		10:47:06	3		0.000058	0.000004	0.000124
4		10:47:06	3		0.000039	0.000005	0.000097
10		10:47:06	2		0.000084	0.000017	0.000151
5		10:47:06	5		0.000049	0.000016	0.000109
1		10:47:06	12		0.000018	0.000007	0.000051
7		10:47:06	4		0.000064	0.000007	0.000213
1		10:47:06	13		0.000018	0.000007	0.000051
3		10:47:06	5		0.000066	0.000011	0.000157
2		10:47:06	5		0.000064	0.000004	0.000245
4		10:47:06	4		0.000039	0.000005	0.000097
8		10:47:06	3		0.000070	0.000016	0.000142
4		10:47:06	5		0.000033	0.000005	0.000097
1		10:47:06	14		0.000019	0.000007	0.000051
10		10:47:06	3		0.000073	0.000017	0.000151
9		10:47:06	4		0.000045	0.000004	0.000124
5		10:47:06	6		0.000048	0.000016	0.000109
7		10:47:06	5		0.000060	0.000007	0.000213
6		10:47:06	3		0.000065	0.000017	0.000108
3		10:47:06	6		0.000057	0.000008	0.000157
8		10:47:06	4		0.000055	0.000009	0.000142
3		10:47:06	7		0.000049	0.000007	0.000157
2		10:47:06	6		0.000061	0.000004	0.000245
9		10:47:06	5		0.000038	0.000004	0.000124
7		10:47:06	6		0.000051	0.000007	0.000213
6		10:47:06	4		0.000057	0.000017	0.000108
7		10:47:06	7		0.000045	0.000007	0.000213
6		10:47:06	5		0.000048	0.000008	0.000108
2		10:47:06	7		0.000056	0.000004	0.000245
1		10:47:06	15		0.000021	0.000007	0.000054
3		10:47:06	8		0.000049	0.000007	0.000157
5		10:47:06	7		0.000043	0.000007	0.000109
3		10:47:06	9		0.000045	0.000007	0.000157
5		10:47:06	8		0.000038	0.000007	0.000109
7		10:47:06	8		0.000040	0.000007	0.000213
6		10:47:06	6		0.000041	0.000007	0.000108
2		10:47:06	8		0.000050	0.000004	0.000245
8		10:47:06	5		0.000051	0.000009	0.000142
2		10:47:06	9		0.000045	0.000004	0.000245
4		10:47:06	6		0.000036	0.000005	0.000097
9		10:47:06	6		0.000041	0.000004	0.000124
3		10:47:06	10		0.000041	0.000006	0.000157
5		10:47:06	9		0.000038	0.000007	0.000109
3		10:47:06	11		0.000038	0.000006	0.000157
10		10:47:06	4		0.000065	0.000017	0.000151
2		10:47:06	10		0.000045	0.000004	0.000245
1		10:47:06	16		0.000023	0.000007	0.000054
